Gene,logFC,logCPM,F,PValue,FDR,mouse_gene
UPK1B,1.9596019848216648,2.8376105676692376,15.6681945431525,3.365830266458007e-4,0.13238130993242814,Upk1b
SCG3,1.9595586869553807,0.3942821796844829,8.892409564933276,0.00508741123232572,0.16069697561566404,Scg3
SNX18P10,1.959389477987843,0.08502992181874428,10.093629561987512,0.00303201170797356,0.1533134614249029,NA
KCNG1,1.959053986851629,2.4323096464921883,11.11249473344182,0.00198150995709517,0.14889400735503108,Kcng1
GFAP,1.9588255465602005,1.1098236963187886,9.759612717539092,0.00349497147272461,0.15729177183359844,Gfap
DNAH10,1.9558965705318312,0.6631031509727574,9.198262261321595,0.00445154316666157,0.16069697561566404,Dnah10
ANKRD20A3,1.9540041102694248,3.4542750470100567,9.173166528663092,0.00450037213822844,0.16069697561566404,NA
TPBG,1.9537278482858111,0.9030547412102364,10.538883061929743,0.00251399071005749,0.15053491711366251,Tpbg
TNR,1.9487863229830564,1.42941439371347,5.214565951215264,0.02834424909070715,0.25726299490625903,Tnr
CHRDL1,1.9483611771126867,0.6350039910845828,5.392834190281412,0.02593274993831231,0.24876962954759876,Chrdl1
FFAR4,1.943334068863203,0.1791312748802357,9.51540139564774,0.00388096950978001,0.16004525051019558,Ffar4
RP11-226E21.4,1.940455900697875,2.456271843216661,14.20877745178735,5.816165211476087e-4,0.1457608296450643,NA
VANGL2,1.9401914460312732,1.3485038758044416,6.962534309627805,0.0121801023815996,0.18664481562304625,Vangl2
SNX18P12,1.9360692258333392,1.718506318874193,13.274961419476124,8.335346501567555e-4,0.1457608296450643,NA
