Gene,logFC,logCPM,F,PValue,FDR
CLDN7,-0.09379904989254924,3.3171905250330114,0.04686620983071239,0.8298194062718435,0.9396038273254096
RAB3GAP2,-0.09390808857501312,6.276591327240311,0.27907706958950457,0.6005177507233778,0.8399864254665107
PSMD13,-0.09400597948796409,5.268359415644117,0.45078780688010195,0.5062061717149571,0.7861733678808466
AUP1,-0.09413745031929768,6.330037104510822,0.17124831104813687,0.6814365755064917,0.8773011293579407
NISCH,-0.0941542490175467,6.556294350971929,0.16785312681398756,0.6844316002870996,0.8781189263359594
FAM98A,-0.09423783478364212,4.685369620264946,0.14990684854216246,0.7008823038477754,0.8863105547930339
PAFAH1B2,-0.09427068228386391,5.637497850366777,0.1392396662364508,0.7112055744904662,0.8917983803344063
CDC42SE1,-0.0943236766629074,6.083317039419048,0.24079884512654973,0.6265794704233997,0.852355955305661
EIF4E2,-0.09455761636703883,5.222203879608274,0.2486654855759104,0.6210209187312146,0.849999548970166
SLC25A17,-0.09459070088705267,3.3492616799231,0.2200155032504391,0.6418296176148447,0.8597687627800931
RP3-407E4.3,-0.09469524688807382,1.077521877952402,0.019746640591814232,0.8890228845877766,0.9617399496074316
PKHD1L1,-0.09470146871040289,3.0714093042867314,0.02053838418017844,0.886835227488217,0.96158144936114065
DIAPH2,-0.09475040265325353,6.704653391536923,0.34809256859809135,0.5588452775377675,0.8169577623953836
MAZ,-0.09480432968312247,5.325222284041952,0.1150778864427399,0.7363877846705382,0.9020804275697434
RPS24,-0.09481668654983971,7.258631062642284,0.15429961814661927,0.6967543168601313,0.8836918518072293
ENOSF1,-0.09483181788283764,6.938194368305134,0.21306436414514554,0.6471269242261696,0.8627143690186663
ZBED5,-0.09496639108117197,4.361101776141028,0.2918150001455404,0.5923546945600956,0.8353344032301707
DTHD1,-0.09503575739808559,1.8566463642718651,0.018324348724915174,0.8930682761616473,0.9632774961746164
PNPLA8,-0.0950513604381605,5.18831692287622,0.18981906231439702,0.6656439087906796,0.8705929496978276
EIF2S2,-0.09506858046264433,5.591315873182523,0.1630912571395071,0.6886926265709777,0.8805065759018853
YES1P1,-0.09512128264364562,1.5266707387572165,0.048919563865386005,0.826191981216402,0.9388397681714981
SMG1,-0.09515773271242518,9.052994272643744,0.3495416913086678,0.5580319373465756,0.8166123414047103
RBM42,-0.09520315165844243,3.5382020538102665,0.12863564291172438,0.7219258652040743,0.8963166754833599
MITD1,-0.09523137092445963,3.7007050751479458,0.3205034851509571,0.5747843353304413,0.8256840212843731
PYCR2,-0.09549203492023992,4.593287448644517,0.1219144803434137,0.7289821231538367,0.8990634382841741
SRSF6,-0.09565785253337561,6.428366798928656,0.18830118085062061,0.6668993259261492,0.8707917911994466
MEF2D,-0.09582173195559296,5.921129510741978,0.2339454835190377,0.6315150105998855,0.8547914928396763
CHD9,-0.09590659548111334,7.63501184953703,0.3952132599179988,0.5335028696498807,0.8017331448956274
HSPA14,-0.09593558422482026,2.9056536299073756,0.16582482128525206,0.6862378171779354,0.8792848684044162
